O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
11-1011.00,Chief Executives,11-1021.00,General and Operations Managers,Primary-Short,1
11-1011.00,Chief Executives,13-1111.00,Management Analysts,Primary-Short,2
11-1011.00,Chief Executives,11-3031.01,Treasurers and Controllers,Primary-Short,3
11-1011.00,Chief Executives,11-9151.00,Social and Community Service Managers,Primary-Short,4
11-1011.00,Chief Executives,11-2032.00,Public Relations Managers,Primary-Short,5
11-1011.00,Chief Executives,11-9199.02,Compliance Managers,Primary-Long,6
11-1011.00,Chief Executives,11-9033.00,"Education Administrators, Postsecondary",Primary-Long,7
11-1011.00,Chief Executives,11-1031.00,Legislators,Primary-Long,8
11-1011.00,Chief Executives,11-3031.00,Financial Managers,Primary-Long,9
11-1011.00,Chief Executives,11-1011.03,Chief Sustainability Officers,Primary-Long,10
11-1011.00,Chief Executives,11-3012.00,Administrative Services Managers,Supplemental,11
11-1011.00,Chief Executives,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,12
11-1011.00,Chief Executives,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,13
11-1011.00,Chief Executives,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Supplemental,14
11-1011.00,Chief Executives,11-3121.00,Human Resources Managers,Supplemental,15
11-1011.00,Chief Executives,27-3031.00,Public Relations Specialists,Supplemental,16
11-1011.00,Chief Executives,13-1075.00,Labor Relations Specialists,Supplemental,17
11-1011.00,Chief Executives,13-2061.00,Financial Examiners,Supplemental,18
11-1011.00,Chief Executives,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Supplemental,19
11-1011.00,Chief Executives,11-2022.00,Sales Managers,Supplemental,20
11-1011.03,Chief Sustainability Officers,13-1199.05,Sustainability Specialists,Primary-Short,1
11-1011.03,Chief Sustainability Officers,19-2041.01,Climate Change Policy Analysts,Primary-Short,2
11-1011.03,Chief Sustainability Officers,19-2041.03,Industrial Ecologists,Primary-Short,3
11-1011.03,Chief Sustainability Officers,11-9199.10,Wind Energy Development Managers,Primary-Short,4
11-1011.03,Chief Sustainability Officers,19-2041.00,"Environmental Scientists and Specialists, Including Health",Primary-Short,5
11-1011.03,Chief Sustainability Officers,19-3051.00,Urban and Regional Planners,Primary-Long,6
11-1011.03,Chief Sustainability Officers,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Primary-Long,7
11-1011.03,Chief Sustainability Officers,19-2041.02,Environmental Restoration Planners,Primary-Long,8
11-1011.03,Chief Sustainability Officers,19-1031.00,Conservation Scientists,Primary-Long,9
11-1011.03,Chief Sustainability Officers,11-1011.00,Chief Executives,Primary-Long,10
11-1011.03,Chief Sustainability Officers,13-1082.00,Project Management Specialists,Supplemental,11
11-1011.03,Chief Sustainability Officers,13-1111.00,Management Analysts,Supplemental,12
11-1011.03,Chief Sustainability Officers,17-2081.00,Environmental Engineers,Supplemental,13
11-1011.03,Chief Sustainability Officers,11-9199.02,Compliance Managers,Supplemental,14
11-1011.03,Chief Sustainability Officers,47-4011.01,Energy Auditors,Supplemental,15
11-1011.03,Chief Sustainability Officers,15-1299.09,Information Technology Project Managers,Supplemental,16
11-1011.03,Chief Sustainability Officers,19-3011.01,Environmental Economists,Supplemental,17
11-1011.03,Chief Sustainability Officers,11-9121.02,Water Resource Specialists,Supplemental,18
11-1011.03,Chief Sustainability Officers,25-1053.00,"Environmental Science Teachers, Postsecondary",Supplemental,19
11-1011.03,Chief Sustainability Officers,17-2199.03,"Energy Engineers, Except Wind and Solar",Supplemental,20
11-1021.00,General and Operations Managers,11-1011.00,Chief Executives,Primary-Short,1
11-1021.00,General and Operations Managers,11-3012.00,Administrative Services Managers,Primary-Short,2
11-1021.00,General and Operations Managers,11-3051.00,Industrial Production Managers,Primary-Short,3
11-1021.00,General and Operations Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Short,4
11-1021.00,General and Operations Managers,11-3013.00,Facilities Managers,Primary-Short,5
11-1021.00,General and Operations Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",Primary-Long,6
11-1021.00,General and Operations Managers,13-1082.00,Project Management Specialists,Primary-Long,7
11-1021.00,General and Operations Managers,11-9021.00,Construction Managers,Primary-Long,8
11-1021.00,General and Operations Managers,15-1299.09,Information Technology Project Managers,Primary-Long,9
11-1021.00,General and Operations Managers,11-2022.00,Sales Managers,Primary-Long,10
11-1021.00,General and Operations Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,11
11-1021.00,General and Operations Managers,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Supplemental,12
11-1021.00,General and Operations Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Supplemental,13
11-1021.00,General and Operations Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Supplemental,14
11-1021.00,General and Operations Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Supplemental,15
11-1021.00,General and Operations Managers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Supplemental,16
11-1021.00,General and Operations Managers,13-1111.00,Management Analysts,Supplemental,17
11-1021.00,General and Operations Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Supplemental,18
11-1021.00,General and Operations Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Supplemental,19
11-1021.00,General and Operations Managers,17-2112.00,Industrial Engineers,Supplemental,20
11-1031.00,Legislators,11-1011.00,Chief Executives,Primary-Short,1
11-1031.00,Legislators,19-3094.00,Political Scientists,Primary-Short,2
11-1031.00,Legislators,23-1012.00,Judicial Law Clerks,Primary-Short,3
11-1031.00,Legislators,11-3031.01,Treasurers and Controllers,Primary-Short,4
11-1031.00,Legislators,23-1011.00,Lawyers,Primary-Short,5
11-1031.00,Legislators,13-1075.00,Labor Relations Specialists,Primary-Long,6
11-1031.00,Legislators,11-9033.00,"Education Administrators, Postsecondary",Primary-Long,7
11-1031.00,Legislators,27-3031.00,Public Relations Specialists,Primary-Long,8
11-1031.00,Legislators,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Primary-Long,9
11-1031.00,Legislators,13-1041.03,Equal Opportunity Representatives and Officers,Primary-Long,10
11-1031.00,Legislators,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,11
11-1031.00,Legislators,29-2099.08,Patient Representatives,Supplemental,12
11-1031.00,Legislators,23-1022.00,"Arbitrators, Mediators, and Conciliators",Supplemental,13
11-1031.00,Legislators,11-9151.00,Social and Community Service Managers,Supplemental,14
11-1031.00,Legislators,21-1093.00,Social and Human Service Assistants,Supplemental,15
11-1031.00,Legislators,25-1065.00,"Political Science Teachers, Postsecondary",Supplemental,16
11-1031.00,Legislators,11-9032.00,"Education Administrators, Kindergarten through Secondary",Supplemental,17
11-1031.00,Legislators,11-1021.00,General and Operations Managers,Supplemental,18
11-1031.00,Legislators,21-2021.00,"Directors, Religious Activities and Education",Supplemental,19
11-1031.00,Legislators,43-4031.00,"Court, Municipal, and License Clerks",Supplemental,20
11-2011.00,Advertising and Promotions Managers,41-3011.00,Advertising Sales Agents,Primary-Short,1
11-2011.00,Advertising and Promotions Managers,11-2021.00,Marketing Managers,Primary-Short,2
11-2011.00,Advertising and Promotions Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
11-2011.00,Advertising and Promotions Managers,13-1161.01,Search Marketing Strategists,Primary-Short,4
11-2011.00,Advertising and Promotions Managers,27-3031.00,Public Relations Specialists,Primary-Short,5
11-2011.00,Advertising and Promotions Managers,11-2032.00,Public Relations Managers,Primary-Long,6
11-2011.00,Advertising and Promotions Managers,11-2022.00,Sales Managers,Primary-Long,7
11-2011.00,Advertising and Promotions Managers,11-2033.00,Fundraising Managers,Primary-Long,8
11-2011.00,Advertising and Promotions Managers,13-1131.00,Fundraisers,Primary-Long,9
11-2011.00,Advertising and Promotions Managers,13-1199.06,Online Merchants,Primary-Long,10
11-2011.00,Advertising and Promotions Managers,27-3043.00,Writers and Authors,Supplemental,11
11-2011.00,Advertising and Promotions Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,12
11-2011.00,Advertising and Promotions Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Supplemental,13
11-2011.00,Advertising and Promotions Managers,13-1111.00,Management Analysts,Supplemental,14
11-2011.00,Advertising and Promotions Managers,27-1026.00,Merchandise Displayers and Window Trimmers,Supplemental,15
11-2011.00,Advertising and Promotions Managers,15-2051.01,Business Intelligence Analysts,Supplemental,16
11-2011.00,Advertising and Promotions Managers,11-3061.00,Purchasing Managers,Supplemental,17
11-2011.00,Advertising and Promotions Managers,41-9041.00,Telemarketers,Supplemental,18
11-2011.00,Advertising and Promotions Managers,15-1299.01,Web Administrators,Supplemental,19
11-2011.00,Advertising and Promotions Managers,27-1011.00,Art Directors,Supplemental,20
11-2021.00,Marketing Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,1
11-2021.00,Marketing Managers,11-2022.00,Sales Managers,Primary-Short,2
11-2021.00,Marketing Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,3
11-2021.00,Marketing Managers,13-1161.01,Search Marketing Strategists,Primary-Short,4
11-2021.00,Marketing Managers,41-3011.00,Advertising Sales Agents,Primary-Short,5
11-2021.00,Marketing Managers,15-2051.01,Business Intelligence Analysts,Primary-Long,6
11-2021.00,Marketing Managers,11-2032.00,Public Relations Managers,Primary-Long,7
11-2021.00,Marketing Managers,27-3031.00,Public Relations Specialists,Primary-Long,8
11-2021.00,Marketing Managers,11-3061.00,Purchasing Managers,Primary-Long,9
11-2021.00,Marketing Managers,13-1199.06,Online Merchants,Primary-Long,10
11-2021.00,Marketing Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,11
11-2021.00,Marketing Managers,13-1111.00,Management Analysts,Supplemental,12
11-2021.00,Marketing Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Supplemental,13
11-2021.00,Marketing Managers,15-1299.09,Information Technology Project Managers,Supplemental,14
11-2021.00,Marketing Managers,13-2051.00,Financial and Investment Analysts,Supplemental,15
11-2021.00,Marketing Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,16
11-2021.00,Marketing Managers,13-1082.00,Project Management Specialists,Supplemental,17
11-2021.00,Marketing Managers,13-1081.00,Logisticians,Supplemental,18
11-2021.00,Marketing Managers,11-1021.00,General and Operations Managers,Supplemental,19
11-2021.00,Marketing Managers,27-3043.00,Writers and Authors,Supplemental,20
11-2022.00,Sales Managers,11-2021.00,Marketing Managers,Primary-Short,1
11-2022.00,Sales Managers,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Primary-Short,2
11-2022.00,Sales Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
11-2022.00,Sales Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,4
11-2022.00,Sales Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Primary-Short,5
11-2022.00,Sales Managers,11-3061.00,Purchasing Managers,Primary-Long,6
11-2022.00,Sales Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,Primary-Long,7
11-2022.00,Sales Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Long,8
11-2022.00,Sales Managers,11-1021.00,General and Operations Managers,Primary-Long,9
11-2022.00,Sales Managers,41-3011.00,Advertising Sales Agents,Primary-Long,10
11-2022.00,Sales Managers,13-1111.00,Management Analysts,Supplemental,11
11-2022.00,Sales Managers,13-1199.06,Online Merchants,Supplemental,12
11-2022.00,Sales Managers,43-4051.00,Customer Service Representatives,Supplemental,13
11-2022.00,Sales Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Supplemental,14
11-2022.00,Sales Managers,11-1011.00,Chief Executives,Supplemental,15
11-2022.00,Sales Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Supplemental,16
11-2022.00,Sales Managers,13-1081.00,Logisticians,Supplemental,17
11-2022.00,Sales Managers,13-2051.00,Financial and Investment Analysts,Supplemental,18
11-2022.00,Sales Managers,43-4011.00,Brokerage Clerks,Supplemental,19
11-2022.00,Sales Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,20
11-2032.00,Public Relations Managers,27-3031.00,Public Relations Specialists,Primary-Short,1
11-2032.00,Public Relations Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,2
11-2032.00,Public Relations Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Primary-Short,3
11-2032.00,Public Relations Managers,13-1111.00,Management Analysts,Primary-Short,4
11-2032.00,Public Relations Managers,11-2021.00,Marketing Managers,Primary-Short,5
11-2032.00,Public Relations Managers,11-2033.00,Fundraising Managers,Primary-Long,6
11-2032.00,Public Relations Managers,11-9151.00,Social and Community Service Managers,Primary-Long,7
11-2032.00,Public Relations Managers,11-3121.00,Human Resources Managers,Primary-Long,8
11-2032.00,Public Relations Managers,13-1161.01,Search Marketing Strategists,Primary-Long,9
11-2032.00,Public Relations Managers,11-1021.00,General and Operations Managers,Primary-Long,10
11-2032.00,Public Relations Managers,11-1011.00,Chief Executives,Supplemental,11
11-2032.00,Public Relations Managers,25-1122.00,"Communications Teachers, Postsecondary",Supplemental,12
11-2032.00,Public Relations Managers,11-3012.00,Administrative Services Managers,Supplemental,13
11-2032.00,Public Relations Managers,27-2012.03,Media Programming Directors,Supplemental,14
11-2032.00,Public Relations Managers,25-1011.00,"Business Teachers, Postsecondary",Supplemental,15
11-2032.00,Public Relations Managers,13-1075.00,Labor Relations Specialists,Supplemental,16
11-2032.00,Public Relations Managers,13-1071.00,Human Resources Specialists,Supplemental,17
11-2032.00,Public Relations Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,18
11-2032.00,Public Relations Managers,41-3011.00,Advertising Sales Agents,Supplemental,19
11-2032.00,Public Relations Managers,15-2051.01,Business Intelligence Analysts,Supplemental,20
11-2033.00,Fundraising Managers,13-1131.00,Fundraisers,Primary-Short,1
11-2033.00,Fundraising Managers,11-2032.00,Public Relations Managers,Primary-Short,2
11-2033.00,Fundraising Managers,27-3031.00,Public Relations Specialists,Primary-Short,3
11-2033.00,Fundraising Managers,11-2011.00,Advertising and Promotions Managers,Primary-Short,4
11-2033.00,Fundraising Managers,11-9151.00,Social and Community Service Managers,Primary-Short,5
11-2033.00,Fundraising Managers,11-3031.00,Financial Managers,Primary-Long,6
11-2033.00,Fundraising Managers,13-1121.00,"Meeting, Convention, and Event Planners",Primary-Long,7
11-2033.00,Fundraising Managers,11-2021.00,Marketing Managers,Primary-Long,8
11-2033.00,Fundraising Managers,11-2022.00,Sales Managers,Primary-Long,9
11-2033.00,Fundraising Managers,11-3031.01,Treasurers and Controllers,Primary-Long,10
11-2033.00,Fundraising Managers,11-1011.00,Chief Executives,Supplemental,11
11-2033.00,Fundraising Managers,13-1111.00,Management Analysts,Supplemental,12
11-2033.00,Fundraising Managers,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,13
11-2033.00,Fundraising Managers,11-9033.00,"Education Administrators, Postsecondary",Supplemental,14
11-2033.00,Fundraising Managers,11-3031.03,Investment Fund Managers,Supplemental,15
11-2033.00,Fundraising Managers,13-2052.00,Personal Financial Advisors,Supplemental,16
11-2033.00,Fundraising Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,17
11-2033.00,Fundraising Managers,11-3111.00,Compensation and Benefits Managers,Supplemental,18
11-2033.00,Fundraising Managers,13-1082.00,Project Management Specialists,Supplemental,19
11-2033.00,Fundraising Managers,43-4061.00,"Eligibility Interviewers, Government Programs",Supplemental,20
11-3012.00,Administrative Services Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Primary-Short,1
11-3012.00,Administrative Services Managers,11-1021.00,General and Operations Managers,Primary-Short,2
11-3012.00,Administrative Services Managers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Primary-Short,3
11-3012.00,Administrative Services Managers,13-1082.00,Project Management Specialists,Primary-Short,4
11-3012.00,Administrative Services Managers,15-1299.03,Document Management Specialists,Primary-Short,5
11-3012.00,Administrative Services Managers,11-9199.02,Compliance Managers,Primary-Long,6
11-3012.00,Administrative Services Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Primary-Long,7
11-3012.00,Administrative Services Managers,11-3013.00,Facilities Managers,Primary-Long,8
11-3012.00,Administrative Services Managers,13-1071.00,Human Resources Specialists,Primary-Long,9
11-3012.00,Administrative Services Managers,11-3121.00,Human Resources Managers,Primary-Long,10
11-3012.00,Administrative Services Managers,13-1111.00,Management Analysts,Supplemental,11
11-3012.00,Administrative Services Managers,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Supplemental,12
11-3012.00,Administrative Services Managers,11-1011.00,Chief Executives,Supplemental,13
11-3012.00,Administrative Services Managers,43-9061.00,"Office Clerks, General",Supplemental,14
11-3012.00,Administrative Services Managers,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Supplemental,15
11-3012.00,Administrative Services Managers,11-9111.00,Medical and Health Services Managers,Supplemental,16
11-3012.00,Administrative Services Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Supplemental,17
11-3012.00,Administrative Services Managers,15-1299.09,Information Technology Project Managers,Supplemental,18
11-3012.00,Administrative Services Managers,29-9021.00,Health Information Technologists and Medical Registrars,Supplemental,19
11-3012.00,Administrative Services Managers,11-9151.00,Social and Community Service Managers,Supplemental,20
11-3013.00,Facilities Managers,11-1021.00,General and Operations Managers,Primary-Short,1
11-3013.00,Facilities Managers,49-9071.00,"Maintenance and Repair Workers, General",Primary-Short,2
11-3013.00,Facilities Managers,11-9021.00,Construction Managers,Primary-Short,3
11-3013.00,Facilities Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,Primary-Short,4
11-3013.00,Facilities Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",Primary-Short,5
11-3013.00,Facilities Managers,11-3012.00,Administrative Services Managers,Primary-Long,6
11-3013.00,Facilities Managers,11-3051.00,Industrial Production Managers,Primary-Long,7
11-3013.00,Facilities Managers,47-4011.00,Construction and Building Inspectors,Primary-Long,8
11-3013.00,Facilities Managers,11-9141.00,"Property, Real Estate, and Community Association Managers",Primary-Long,9
11-3013.00,Facilities Managers,11-3013.01,Security Managers,Primary-Long,10
11-3013.00,Facilities Managers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Supplemental,11
11-3013.00,Facilities Managers,17-2112.00,Industrial Engineers,Supplemental,12
11-3013.00,Facilities Managers,13-1082.00,Project Management Specialists,Supplemental,13
11-3013.00,Facilities Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,Supplemental,14
11-3013.00,Facilities Managers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Supplemental,15
11-3013.00,Facilities Managers,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Supplemental,16
11-3013.00,Facilities Managers,13-1111.00,Management Analysts,Supplemental,17
11-3013.00,Facilities Managers,47-1011.03,Solar Energy Installation Managers,Supplemental,18
11-3013.00,Facilities Managers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Supplemental,19
11-3013.00,Facilities Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,Supplemental,20
11-3013.01,Security Managers,13-1199.07,Security Management Specialists,Primary-Short,1
11-3013.01,Security Managers,33-1091.00,First-Line Supervisors of Security Workers,Primary-Short,2
11-3013.01,Security Managers,11-9199.02,Compliance Managers,Primary-Short,3
11-3013.01,Security Managers,33-9032.00,Security Guards,Primary-Short,4
11-3013.01,Security Managers,11-9161.00,Emergency Management Directors,Primary-Short,5
11-3013.01,Security Managers,13-1111.00,Management Analysts,Primary-Long,6
11-3013.01,Security Managers,13-1199.04,Business Continuity Planners,Primary-Long,7
11-3013.01,Security Managers,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Primary-Long,8
11-3013.01,Security Managers,11-3013.00,Facilities Managers,Primary-Long,9
11-3013.01,Security Managers,19-5011.00,Occupational Health and Safety Specialists,Primary-Long,10
11-3013.01,Security Managers,15-1299.04,Penetration Testers,Supplemental,11
11-3013.01,Security Managers,15-1299.05,Information Security Engineers,Supplemental,12
11-3013.01,Security Managers,15-1212.00,Information Security Analysts,Supplemental,13
11-3013.01,Security Managers,33-9099.02,Retail Loss Prevention Specialists,Supplemental,14
11-3013.01,Security Managers,15-1299.06,Digital Forensics Analysts,Supplemental,15
11-3013.01,Security Managers,11-9199.08,Loss Prevention Managers,Supplemental,16
11-3013.01,Security Managers,33-3021.06,Intelligence Analysts,Supplemental,17
11-3013.01,Security Managers,11-3012.00,Administrative Services Managers,Supplemental,18
11-3013.01,Security Managers,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Supplemental,19
11-3013.01,Security Managers,11-3021.00,Computer and Information Systems Managers,Supplemental,20
11-3021.00,Computer and Information Systems Managers,15-1211.00,Computer Systems Analysts,Primary-Short,1
11-3021.00,Computer and Information Systems Managers,13-1082.00,Project Management Specialists,Primary-Short,2
11-3021.00,Computer and Information Systems Managers,15-1252.00,Software Developers,Primary-Short,3
11-3021.00,Computer and Information Systems Managers,15-1299.08,Computer Systems Engineers/Architects,Primary-Short,4
11-3021.00,Computer and Information Systems Managers,13-1111.00,Management Analysts,Primary-Short,5
11-3021.00,Computer and Information Systems Managers,15-1299.09,Information Technology Project Managers,Primary-Long,6
11-3021.00,Computer and Information Systems Managers,15-1243.00,Database Architects,Primary-Long,7
11-3021.00,Computer and Information Systems Managers,15-1241.00,Computer Network Architects,Primary-Long,8
11-3021.00,Computer and Information Systems Managers,15-1299.05,Information Security Engineers,Primary-Long,9
11-3021.00,Computer and Information Systems Managers,15-1242.00,Database Administrators,Primary-Long,10
11-3021.00,Computer and Information Systems Managers,25-1021.00,"Computer Science Teachers, Postsecondary",Supplemental,11
11-3021.00,Computer and Information Systems Managers,15-1244.00,Network and Computer Systems Administrators,Supplemental,12
11-3021.00,Computer and Information Systems Managers,15-1212.00,Information Security Analysts,Supplemental,13
11-3021.00,Computer and Information Systems Managers,15-1251.00,Computer Programmers,Supplemental,14
11-3021.00,Computer and Information Systems Managers,15-2051.01,Business Intelligence Analysts,Supplemental,15
11-3021.00,Computer and Information Systems Managers,15-1253.00,Software Quality Assurance Analysts and Testers,Supplemental,16
11-3021.00,Computer and Information Systems Managers,15-2051.00,Data Scientists,Supplemental,17
11-3021.00,Computer and Information Systems Managers,15-1231.00,Computer Network Support Specialists,Supplemental,18
11-3021.00,Computer and Information Systems Managers,15-1232.00,Computer User Support Specialists,Supplemental,19
11-3021.00,Computer and Information Systems Managers,15-1299.03,Document Management Specialists,Supplemental,20
11-3031.00,Financial Managers,13-2011.00,Accountants and Auditors,Primary-Short,1
11-3031.00,Financial Managers,13-2051.00,Financial and Investment Analysts,Primary-Short,2
11-3031.00,Financial Managers,13-2052.00,Personal Financial Advisors,Primary-Short,3
11-3031.00,Financial Managers,13-2041.00,Credit Analysts,Primary-Short,4
11-3031.00,Financial Managers,13-2072.00,Loan Officers,Primary-Short,5
11-3031.00,Financial Managers,13-2054.00,Financial Risk Specialists,Primary-Long,6
11-3031.00,Financial Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,7
11-3031.00,Financial Managers,11-3031.01,Treasurers and Controllers,Primary-Long,8
11-3031.00,Financial Managers,13-2061.00,Financial Examiners,Primary-Long,9
11-3031.00,Financial Managers,11-3031.03,Investment Fund Managers,Primary-Long,10
11-3031.00,Financial Managers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,11
11-3031.00,Financial Managers,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,12
11-3031.00,Financial Managers,13-1111.00,Management Analysts,Supplemental,13
11-3031.00,Financial Managers,13-2071.00,Credit Counselors,Supplemental,14
11-3031.00,Financial Managers,43-4141.00,New Accounts Clerks,Supplemental,15
11-3031.00,Financial Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,16
11-3031.00,Financial Managers,43-4011.00,Brokerage Clerks,Supplemental,17
11-3031.00,Financial Managers,13-2031.00,Budget Analysts,Supplemental,18
11-3031.00,Financial Managers,11-3012.00,Administrative Services Managers,Supplemental,19
11-3031.00,Financial Managers,43-3071.00,Tellers,Supplemental,20
11-3031.01,Treasurers and Controllers,13-2011.00,Accountants and Auditors,Primary-Short,1
11-3031.01,Treasurers and Controllers,13-2061.00,Financial Examiners,Primary-Short,2
11-3031.01,Treasurers and Controllers,11-1011.00,Chief Executives,Primary-Short,3
11-3031.01,Treasurers and Controllers,11-3031.00,Financial Managers,Primary-Short,4
11-3031.01,Treasurers and Controllers,13-2031.00,Budget Analysts,Primary-Short,5
11-3031.01,Treasurers and Controllers,13-2052.00,Personal Financial Advisors,Primary-Long,6
11-3031.01,Treasurers and Controllers,11-3031.03,Investment Fund Managers,Primary-Long,7
11-3031.01,Treasurers and Controllers,13-1111.00,Management Analysts,Primary-Long,8
11-3031.01,Treasurers and Controllers,11-1021.00,General and Operations Managers,Primary-Long,9
11-3031.01,Treasurers and Controllers,13-2051.00,Financial and Investment Analysts,Primary-Long,10
11-3031.01,Treasurers and Controllers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Supplemental,11
11-3031.01,Treasurers and Controllers,11-3012.00,Administrative Services Managers,Supplemental,12
11-3031.01,Treasurers and Controllers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,13
11-3031.01,Treasurers and Controllers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Supplemental,14
11-3031.01,Treasurers and Controllers,13-2041.00,Credit Analysts,Supplemental,15
11-3031.01,Treasurers and Controllers,43-3051.00,Payroll and Timekeeping Clerks,Supplemental,16
11-3031.01,Treasurers and Controllers,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Supplemental,17
11-3031.01,Treasurers and Controllers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,18
11-3031.01,Treasurers and Controllers,13-1082.00,Project Management Specialists,Supplemental,19
11-3031.01,Treasurers and Controllers,11-3111.00,Compensation and Benefits Managers,Supplemental,20
11-3031.03,Investment Fund Managers,13-2051.00,Financial and Investment Analysts,Primary-Short,1
11-3031.03,Investment Fund Managers,13-2054.00,Financial Risk Specialists,Primary-Short,2
11-3031.03,Investment Fund Managers,13-2052.00,Personal Financial Advisors,Primary-Short,3
11-3031.03,Investment Fund Managers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Short,4
11-3031.03,Investment Fund Managers,13-2099.01,Financial Quantitative Analysts,Primary-Short,5
11-3031.03,Investment Fund Managers,11-3031.00,Financial Managers,Primary-Long,6
11-3031.03,Investment Fund Managers,13-2041.00,Credit Analysts,Primary-Long,7
11-3031.03,Investment Fund Managers,13-2061.00,Financial Examiners,Primary-Long,8
11-3031.03,Investment Fund Managers,11-3031.01,Treasurers and Controllers,Primary-Long,9
11-3031.03,Investment Fund Managers,13-1111.00,Management Analysts,Primary-Long,10
11-3031.03,Investment Fund Managers,13-2011.00,Accountants and Auditors,Supplemental,11
11-3031.03,Investment Fund Managers,19-3011.00,Economists,Supplemental,12
11-3031.03,Investment Fund Managers,13-2072.00,Loan Officers,Supplemental,13
11-3031.03,Investment Fund Managers,15-2011.00,Actuaries,Supplemental,14
